"","id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
"1",47,"S03",456,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"2",48,"S03",240,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"3",4,"S02",543,"SUCCESS","140",2017-04-11,NA,2017-04-15 15:00:27,2017-04-11 15:35:46,NA
"4",6,"S02",421,"SUCCESS","215",2017-04-11,NA,2017-04-16 15:00:03,2017-04-11 15:35:46,NA
"5",30,"S02",231,"SUCCESS","225",2017-04-15,NA,2017-04-20 15:00:04,2017-04-15 15:00:27,NA
"6",28,"S02",37,"SUCCESS","224",2017-04-14,NA,2017-04-21 15:00:03,2017-04-14 15:00:03,NA
"7",19,"S03",31,"FAILED",NA,2017-04-10,2017-07-10,2017-04-23 15:00:08,2017-04-11 15:37:37,NA
"8",5,"S02",322,"SUCCESS","187",2017-04-11,NA,2017-04-28 15:00:03,2017-04-11 15:35:46,NA
"9",35,"S02",31,"SUCCESS","229",2017-04-23,NA,2017-04-28 15:00:03,2017-04-23 15:00:08,NA
"10",32,"S04",231,"FAILED",NA,2017-04-20,2017-07-20,2017-04-28 15:00:03,2017-04-20 15:00:04,NA
"11",34,"S02",422,"SUCCESS","228",2017-04-22,NA,2017-05-01 15:00:02,2017-04-22 15:00:02,NA
"12",7,"S03",537,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"13",11,"S03",1774,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"14",14,"S03",1773,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"15",21,"S03",548,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
"16",49,"S03",252,"AVAILABLE",NA,2017-05-01,2017-08-01,2017-05-01 15:00:02,2017-05-01 15:00:02,NA
"17",36,"S02",117,"SUCCESS","230",2017-04-26,NA,2017-05-04 15:00:16,2017-04-26 15:00:02,NA
"18",52,"S04",117,"AVAILABLE",NA,2017-05-04,2017-08-04,2017-05-04 15:00:16,2017-05-04 15:00:16,NA
"19",39,"S02",231,"SUCCESS","232",2017-04-28,NA,2017-05-07 15:00:03,2017-04-28 15:00:03,NA
"20",16,"S03",351,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"21",18,"S03",370,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"22",25,"S03",505,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
"23",41,"S03",537,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"24",42,"S03",1767,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"25",43,"S03",1774,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"26",45,"S03",304,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"27",46,"S03",548,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"28",51,"S03",198,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
"29",57,"S03",537,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"30",61,"S03",6,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"31",63,"S03",156,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"32",70,"S03",456,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"33",74,"S03",235,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
"34",273,"S03",267,"SUCCESS",NA,NA,NA,2017-05-09 11:31:27,2017-05-09 11:31:27,NA
"35",78,"S02",51,"SUCCESS","240",2017-05-10,NA,2017-05-13 15:00:02,2017-05-10 15:00:03,NA
"36",26,"S03",426,"FAILED",NA,2017-04-10,2017-07-10,2017-05-15 15:00:03,2017-04-11 15:37:37,NA
"37",50,"S03",189,"FAILED",NA,2017-05-01,2017-08-01,2017-05-15 15:00:03,2017-05-01 15:00:02,NA
"38",56,"S03",1770,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"39",58,"S03",1767,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"40",59,"S03",88,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"41",60,"S03",65,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"42",62,"S03",1774,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"43",64,"S03",168,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"44",65,"S03",351,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"45",67,"S03",370,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"46",68,"S03",548,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"47",69,"S03",400,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"48",72,"S03",240,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"49",73,"S03",186,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"50",75,"S03",198,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
"51",81,"S03",1767,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"52",83,"S03",57,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"53",84,"S03",88,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"54",85,"S03",65,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"55",86,"S03",24,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"56",55,"S04",231,"FAILED",NA,2017-05-07,2017-08-07,2017-05-18 15:00:03,2017-05-07 15:00:03,NA
"57",89,"S03",168,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"58",91,"S03",370,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
"59",2,"S02",42,"SUCCESS","118",2017-04-11,NA,2017-05-30 15:00:08,2017-04-11 15:35:46,NA
"60",29,"S04",543,"FAILED",NA,2017-04-15,2017-07-15,2017-06-02 15:00:03,2017-04-15 15:00:27,NA
"61",53,"S02",33,"SUCCESS","236",2017-05-05,NA,2017-06-04 15:00:02,2017-05-05 15:00:14,NA
